entity,code,year,region
Sweden,SWE,2023,Europe and Central Asia
Switzerland,CHE,2023,Europe and Central Asia
Syria,SYR,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Taiwan,TWN,2023,East Asia and Pacific
Tajikistan,TJK,2023,Europe and Central Asia
Tanzania,TZA,2023,Sub-Saharan Africa
Thailand,THA,2023,East Asia and Pacific
Togo,TGO,2023,Sub-Saharan Africa
Tokelau,TKL,2023,East Asia and Pacific
Tonga,TON,2023,East Asia and Pacific
Trinidad and Tobago,TTO,2023,Latin America and Caribbean
Tunisia,TUN,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Turkey,TUR,2023,Europe and Central Asia
Turkmenistan,TKM,2023,Europe and Central Asia
Turks and Caicos Islands,TCA,2023,Latin America and Caribbean
Tuvalu,TUV,2023,East Asia and Pacific
USSR,OWID_USS,2023,Europe and Central Asia
Uganda,UGA,2023,Sub-Saharan Africa
Ukraine,UKR,2023,Europe and Central Asia
United Arab Emirates,ARE,2023,"Middle East, North Africa, Afghanistan and Pakistan"
United Kingdom,GBR,2023,Europe and Central Asia
United States,USA,2023,North America
United States Virgin Islands,VIR,2023,Latin America and Caribbean
Uruguay,URY,2023,Latin America and Caribbean
Uzbekistan,UZB,2023,Europe and Central Asia
Vanuatu,VUT,2023,East Asia and Pacific
Vatican,VAT,2023,Europe and Central Asia
Venezuela,VEN,2023,Latin America and Caribbean
Vietnam,VNM,2023,East Asia and Pacific
Wallis and Futuna,WLF,2023,East Asia and Pacific
West Germany,OWID_GFR,2023,Europe and Central Asia
Yemen,YEM,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Yugoslavia,OWID_YGS,2023,Europe and Central Asia
Zambia,ZMB,2023,Sub-Saharan Africa
Zimbabwe,ZWE,2023,Sub-Saharan Africa
